stopword removal,score,Sentiment
aplikasinya membantu semoga berinovasi,5,Positif
transfer bank permata ives bitcoin susah,1,Negatif
livin keren,5,Positif
aplikasinya kerennnn,5,Positif
livin keren,5,Positif
kereen tampilan trbarunya awalny s dikit bingung tp baguus semoga kedepannya,5,Positif
livin mudah bertransaksi,5,Positif
kecewa download perangkat tidk hp,1,Negatif
sulit update aplikasi sy update uninstall aplikasi sulit coba tolong perbaiki permudah aplikasi perbarui,3,Positif
kemarin aplikasi force close hp huawei nova i pakai wifi data seluler,1,Negatif
gk deh nabung dsni kali nabung disni pas dicek besok nya saldonya ilang g banget dah,1,Negatif
mudah bgt gunakansangat membantu transaksi,5,Positif
terimakasih mandiri aplikasi livin membantu transaksi,5,Positif
now we have entered the era of ai agi and ai asi i hope livin by mandiri continues to improve and increase its capabilities to become super ai super ai that can do anything that exceeds humans an ai that can improve and repair itself an ai that can analyze and structure documents accurately and in detail to make training on itself or the output that will be produced an ai that can be fully integrated into the entire system an ai that can be fully integrated into humanoid robots,5,Positif
aplikasi celekk gudal,1,Negatif
jelek banget pelayanan nya,1,Negatif
aplikasi membantu teransaksi,5,Positif
aceh buka kantor mandiri,5,Positif
aplikasi bermutu tabung livin tarik uang kantor cabang cabang depok progres pencairan uang jam kantor cabang depok margonda,1,Negatif
ba buka knp y,2,Negatif
livingnya anak bsa d buka gmna klo bsa terbuka livingnya,3,Positif
aplikasi membantu transaksi,5,Positif
giliran dicuekin udah bs kebuka blokirnya sialan bisnis gw rugi seminggu gara rtp udh pindah sebelah skrg gw mandiri bener parah,1,Negatif
mempermudah transaksi handphone,5,Positif
bagus membantu,5,Positif
bener oflen nya,5,Positif
mendukung hp ku min aplikasiperangkat kompatibel aplikasi setahu ku miui versi terbaru kasih saran min ganti hp,5,Positif
abis update aplikasi sign out otomatis login lg susah banget aplikasi bikin password selfi berkali gitu aja sampe ultramen berak kolam lele,2,Negatif
update kartu debit aplikasinya nya gimana,1,Negatif
membantu kebutuhan transaksi nasabah bank mandiri bank bumn layanan terbaik,5,Positif
membantu terbaikkk,5,Positif
mantaaaaaaap transaksi gampang bin mudah,5,Positif
knp jdi susah buka sihh,1,Negatif
aplikasi membantu terbaik,5,Positif
mending lu kalo buka rekening mandiri livin mending bank saran gua gua konsultasi wa nya mandiri livin servis blok wkwkw gua buktinya der wa servis mandiri blok kacau mending buka rekening bank mandiri kalo ga nyesel,1,Negatif
aplikasi mobile banking yg lengkap,5,Positif
memudah bertransaksi,5,Positif
aplikasi yg membantu mempermudah nasabah,5,Positif
membantu transaksi,5,Positif
cepat bagus fiturnya suka,5,Positif
aplikasinya memudahkan,5,Positif
memudahkan transaksi,5,Positif
bagus livin transaksi apapun,5,Positif
aplikasi nya bagus mudah,5,Positif
trimakasih,5,Positif
excellent,5,Positif
membantu proses transaksi,5,Positif
mudah transaksi,5,Positif
bpk terhormatsaya maaf nga bikin kendala,4,Positif
aplikasinya gak dibuka bobrok,1,Negatif
kebanyakan offline nyaaabru selesai offlineselang mnit offline,1,Negatif
gangguan repot klo urgent,1,Negatif
daftar ga login livin alasan gangguan gimna solusinya mohon respon udah minggu ujungnya gangguan terussaya bikin online kartu fisik nya,1,Negatif
aplikasi livin gk buka mohon solusinya gimana,2,Negatif
mohon bantuan nya ko saldo hilang riwayat transaksi pemberitahuan riwayat transaksi,1,Negatif
susah masuk ganti sandi pasword pening,2,Negatif
ga login notifikasi jaga keamanan akun jam ga perubahantutup rekening,1,Negatif
mudah pakek livin mandiri,5,Positif
pakai living mandiri udah fitur card kredit living payleter alasanya penguna terpilih pakai living gk fitur kecewa,1,Negatif
livin paylaternya gak sumber pembayaran,1,Negatif
cepat stabil livin by mandiri,5,Positif
aplikasi ribet ganti password otp gamasuk ribet bngt perbaiki hadeh ngabisin orng aja,1,Negatif
fitur lengkap memudahkan pengguna,5,Positif
limit cc susah pengajuan berulang kali tolak riwayat pembayaran apresiasi,1,Negatif
fitur lengkap fitur memenuhi kebutuhan pengguna,5,Positif
transaksi pake livin ajaa,5,Positif
gak login akun nya kecwa,1,Negatif
mudah bertransaksi membantuuu,5,Positif
biaya kartu debit sebulan k gilak,3,Positif
belom coba,5,Positif
pelayanan memuaskan penjelasan padat ramah,5,Positif
aplikasi banking cepat simple terapdet pokoknya,5,Positif
aplikasi investasi yg simple ringan mudah dipahami diback up olah bank mandiri,5,Positif
every update should enhance user experience but version made it harder to log in please review the system and release more stable and userfriendly update soon,1,Negatif
bank mandiri gimana sistemnya kirim otp dikasih menit dikirimnya menit kena blokir jam udah mantapsaya pindah bca yg udah,1,Negatif
nyaman aman,5,Positif
mantap bangett sii tampilannya fungsinya fiturnya the best pokoknyaa,5,Positif
aplikasi livin serbaguna terimakasih mandiri,5,Positif
fiturnya lengkap membantu,5,Positif
layanan mudah akses,5,Positif
memudahkan bertransaksi,5,Positif
transaksi pake livin membantu,5,Positif
livin mandiri bermanfaat mudah,5,Positif
fitur aplikasi memudahkan bertransaksi,5,Positif
pelayanan ramah,5,Positif
transaksi apapun livin mantap,5,Positif
maaafbukankah data kemarin sdh lengkap sdh d acc bank knp hrs kirim ulang,2,Negatif
bagusss aplikasinya,5,Positif
aplikasi living membantu tranfer uang beli pulz gampang,4,Positif
ni knapa livin bsa kebuka sdah buka rekening skrang maslah daftar buka rekening,1,Negatif
buruk sangan buruk pembayaran livin paylater,1,Negatif
pake livin mudah bertrnsaksi,5,Positif
coba riwayat transaksi ditambahin total biaya yg masuk bulannya biar pas gak deganhehehe,5,Positif
transaksi pake livin praktis,5,Positif
tanggal ngk akses ni cepetlah perbaiki orang bisnis,1,Negatif
pakai livin by mandiri transaksi keuangan mudah thanks mandiri,5,Positif
easy apps,5,Positif
aplikasi membantu proses transaksi,5,Positif
bagus enak dipakai,5,Positif
mempermudah bertransaksi ui ux bagus mudah dipahami thank you,5,Positif
livin memudahkan transaksi keuangan,5,Positif
mantap aplikasi terbantu aplikasi livin mudah,5,Positif
tampilannya memudahkan bertransaksi kendala apapun nice,5,Positif
praktis memudahkan,5,Positif
mantaf tof markotof,5,Positif
livin membantu kemudahan transaksi bagus,5,Positif
membantuu fiturnya okey mudah transaksi apapun dimanapun,5,Positif
buka jaringan bagus,1,Negatif
mantap terimakasih livin menbantudalam transaksi mudah,5,Positif
tolong ongkir pengirimannya rendah lagicukup bagus,5,Positif
aplikasi membantu bertransaksi,5,Positif
aplikasi bagus transaksi apapun lakukan ganti kartu,5,Positif
yg paylater mandiri nya gk pake pdhl bayar,1,Negatif
aplikasi mudah lancar,5,Positif
terima kasih aplikasi membantu,5,Positif
livin membantu transaksi dimandiri,5,Positif
menyala livinkuu,5,Positif
verifikasi wajah,1,Negatif
alhamdulillah livin udah upgrade yaa fitur menarik terpenting lemot,4,Positif
aplikasi cepat,5,Positif
optimalisasinya busuk kebuka doang qris beli pulsa transfer ga muncul loading jaringan lancar,1,Negatif
payleter nya,3,Positif
memulihkan kartu debit mandiri,4,Positif
buruk bangat nya gabisa dipake gapernah narik uang pake gabisa eh livinnya eror ganti sandi vertifikasi nomor telepon kode ga masuk,1,Negatif
login slalu gangguan heran,3,Positif
m banking gaguna,1,Negatif
kenapaa aplikasi livin gabisa login,1,Negatif
tolong donk mandiri yg kerja d negri akun d buka pke no hp indonesia klo masuk aplikasi d perbru d perbarui pke no handphone tolong donk bantu masuk pke sandi aja gmna,3,Positif
login padah komplain cabng mandiri respon kacau,1,Negatif
aktivasi ganti handphone mutermuter ganti password ganti pin verifikasi wajah eh disuruh ganti password ganti pin verifikasi wajah eh ganti password ganti pin verifikasi wajah,1,Negatif
sayang nya livin bermasalah masuk,2,Negatif
gmna dah pdhl buka rekning via online gak mentok verifikasi aja trus menu,2,Negatif
yg pakai livin begok auto blok bnyak transaksi smpai skrg blm buka uda gtu ad saldo,1,Negatif
gabisa transfer saldo e wallet,1,Negatif
bermanfaat semuaa pengguna,5,Positif
sumpah pake bank bumn emg ga nyaman masuk mbanking susah trus musti hps dlu login dri peringatan ga,1,Negatif
memuaskan,5,Positif
pas transfer top up gagal saldo rb,1,Negatif
livin buka,1,Negatif
kesalllll aplikasi error malh pinku terblokir,1,Negatif
kartu kredit kuk muncul,5,Positif
sy buka playlatter suruh daftar livin tp blm aplikasi livin,5,Positif
akses,2,Negatif
top mudah transaksi,5,Positif
update livin paylater pembayaran gag saldo tolong perbaiki,1,Negatif
aplikasi sdh bagus,5,Positif
hp k riset aplikasi hilang pas downlod livin mandiri ga log in solusi nya,5,Positif
tnggal verifikasi wajah sja susah banged,2,Negatif
woi mon gak login akun,2,Negatif
aplikasi kaga login verifikasi wajah suruh ngedip kaga kebaca mulu gue ampe kedap kedip mata x kaga kebaca sistem ecek,1,Negatif
aplikasi yg membantu bagus suka aplikasi,5,Positif
sulit akses nya bank gede pelayanan kirim email prosesngga tau sampe nunggu nya,1,Negatif
ni kepana livib skrang ngak masukaduh,1,Negatif
kesel gbisa kirim mulu,1,Negatif
gk dibuka,1,Negatif
cita banggunan,5,Positif
mantap mantep mapan manjur mak nyuzz,5,Positif
gooddd,5,Positif
kasih bintang aja deh paylaternya ga pas darurat limit msh ditampilkan malu sdh terlanjur transaksi gagal parah mandiri,2,Negatif
kali mandiri nya udh cuman lupa password bkin sukses mandiri terima kasih,5,Positif
muda,5,Positif
not bad,4,Positif
gak pakai emergency bolak narik tunai mini bank gak pemeliharaan jam udah pagi jam,3,Positif
kacaaaauuuu dah topup ewalet ajaaaa gagal terussss kenapaaaaaa transaksi kalinya gagal trusss bapukkkkk mandiri,1,Negatif
klo ganti hp kartu pisik gak gk masuk sandi salah al hasil saldo mubah bikin kartu fisik gk d kirim pdhl udah d isi saldo,1,Negatif
susah banget utk top up dana ditautkan jawabannya nomor ditemukan,1,Negatif
pemeliharaan gimana livin gak buka,3,Positif
masang hp udah support tetep gabisa wkwkwkwk kirain hp nya taunya emang aplikasinya bermasalah,2,Negatif
ngak daftar,1,Negatif
aplikasi livin mandiri ruwet g dibuka trouble,5,Positif
maaf livin pinjaman pay later nya gk d dr tgl juli tolong kendalanya,5,Positif
buka rekening susah pas poto selfi nya,3,Positif
masi ga notif kaya berimo,5,Positif
kalo pembayaran qris pakai sidik jari kasih opsi sidik jari masukan pin,4,Positif
livin gangguan gak loginpadahal otp udah gak masuk,2,Negatif
photo ktp ngulang gua kasih bintang,1,Negatif
recomended,5,Positif
adain login kartu donk,2,Negatif
aplikasi jelek pin salah sikit udh terblokir aplikasi nya jelek,1,Negatif
gak bukanya nambah bagus nambah parah banget bca,1,Negatif
aplikasi membantu transaksi dgn mudah,5,Positif
aplikasi bagus cepef,5,Positif
pengajuan ksm sma automotif ilang d update,2,Negatif
aplikasi mudah,5,Positif
susah mw log in gampang,1,Negatif
kasih bintang bank membaca komen berkali kali verifikasi wajah gagal tolong perbaiki sistemnya,5,Positif
tolong livin paylater aktifkan berguna orang mah ksm sediakan fitur nya,1,Negatif
ganguan gak login tolonglah dipercepat,3,Positif
halo masuk mbanking mentok logo pas masuk nomor kartu masuk tanggal lahir lansung gimana tolong donk jelasin,1,Negatif
bagus,5,Positif
membeli saham mandiri harga perlembarnya,3,Positif
kadang kadang suka pas login,4,Positif
livin eror rpt,1,Negatif
menu ksm hilang membantu bngt tuh,4,Positif
bagus si membantucuman aya problem teman transfer rekening livin mandiri status berhasil uang masuk sampe gmna,5,Positif
aplikasi giman gak muncul notif keamanan suruh ngapus aplikasi hp udah otak atik ttp aja muncul notifnya,1,Negatif
kesni gk udah hri susah login ni tolong dbnerin capek jam cobain login ttp aja gk bsa padahl jaringan hp jaringan wifi bagus aja mngkin nya ganti bank aja bca mngkin the best,2,Negatif
mempersulit orang,1,Negatif
membantu bertransaksi terimakasih,5,Positif
selesainya maintenance allah akses susah bener,1,Negatif
transfer uang bank top up e wallet tau saldo minimum transfer top up rekening nominalnya cek ply store update mengecek gagal,1,Negatif
aplikasi ga suruh login nomor kartu berlaku nya tauu berlaku nya,1,Negatif
livin pas update ga pake tolol bgt,1,Negatif
sdh bagustolong hapus daftar orang dihapus hapusin daftar namany muncul,4,Positif
mengatasi rpt gimana,1,Negatif
tolong jgn update terbaru check saldo aja gak gegara update,5,Positif
ga pin salah dikit kartu langsung blokir,1,Negatif
terbantu livin livin pinjaman kartu kredit,5,Positif
kebanyakan,1,Negatif
livin dipaylater ga dipake skrang bayarnya lancar,5,Positif
investasi,5,Positif
diluar dugaan sekelas mandiri kehabisan cardnya dimana kosong card visa dikirim gak dikirim kirim,1,Negatif
nyusahin kirim uang mbanking gk muncul peringatan tanggal sesuai gk ad salah capek banget udah kalinya kek gini,1,Negatif
kekinian lengkapi kebutuhan transaksi,5,Positif
mohon maaf bapakibu yaa kartu udah,2,Negatif
gagal daftar,1,Negatif
hak dibuka,1,Negatif
aplikasi jelek gagal terhubung udh ga niat bikinsayang uang gua dipake aplikasi ga kayak gini,1,Negatif
knapa stiap diatas jam malam aplikasi sukit akses terkadang jalan isi etol gabisa dibuka aplikasinya blm pas kelapeen malam bayar ga,1,Negatif
aplikasih sampah gangguan,1,Negatif
maintenance nya,1,Negatif
emang iya malem tuh gk transfer coba menit bos,1,Negatif
manteppp,5,Positif
keperluan mlmtransaksi gagalaplikasi burik,1,Negatif
error mulu pake aplikasi bank mandiri by livin doang yg error mbanking gk error error sinyal,2,Negatif
bagus coba ajukan pinjman online,5,Positif
anehnya dimutasi masuk saldo gak bertambah tertulis transaksi reversal aneh,4,Positif
offline nyaa gak gak ngatur,1,Negatif
mind knpa update livin paylater ngk mind limit,1,Negatif
desainnya modern gampang banget dipakai fitur ujung jari transfer bayarbayar buka rekening cepat anti ribet suka fitur notifikasinya update nggak ketinggalan transaksi livin bikin urusan perbankan super praktis nyaman recommended,5,Positif
sy pake livin normal error ngk buka tgl juli udah hubungi jawabanya ngk program ai mita ngoceh tolong yg bener ngurusi livin biar akses lancar,1,Negatif
memudahkan transaki channel,5,Positif
percaya pakai livin aman,5,Positif
buka rekening online x telp customer service kartu dikirim diproses tunggu max sampe sebulan dikirim,1,Negatif
livin terbaik,5,Positif
log hp kena reset daftar call center biayanya mahal belom bicara cs mendengar arahan sistem pulsa habis siasia,1,Negatif
terbantu aplikasi livin by mandiri mudahkan transaksi livin terimakasih livin by mandiri,5,Positif
cocok,5,Positif
trimakasih aplikasi membantu,5,Positif
biasatempat tinggal pedalaman transfer bankdengan aplikasi membantubisa transfer ribet,5,Positif
instal ulang,2,Negatif
pengguna kecewa aplikasi log out masuk masukin no kartu hafal kartu dikirim kirim rumah,1,Negatif
riwayat transaksi lengakap detail tolong sempurnakan nya jam menit transaksi klik memudahakan bukti transaksidan pengguna pemula,3,Positif
mudah dipahami joss mantap,5,Positif
mempermudah bertransaksitrimakasih,5,Positif
kebelakang aplikasi dibuka muncul popup panggilan panggilan mohon diperbaiki update issue solve terimakasih,5,Positif
maaf masuk gan,4,Positif
aplikasi yg modern ubah nama panggilan jd deket ama rekening wkwkwk transaksi aja livin mudah pakai mode instant access top bangettt serba gercep qris intip saldo isi emoney isi e wallet cardless transaction dll mantap,5,Positif
trus,5,Positif
aplikasi bagus kualitas mudah dimengerti pelayanan lengkap,5,Positif
cepat menyelesaikan kebutuhan stiap pekerjaan keseharian terima kasih livin mandiri,5,Positif
bermanfaat,5,Positif
langsung bintang modahgak kendala,5,Positif
livin,5,Positif
aplikasi keren banget guys,5,Positif
aplikasi livin war biasah,5,Positif
aplikasi keren kekinian,5,Positif
livin mandiri memudahkan nasabah bertaransaksi,5,Positif
livin buka,2,Negatif
aplikasi transaksi termantul,5,Positif
kak aplikasi login sistem operasi android mendukung os,1,Negatif
livin semenjak buatkan kartu fisik log in susah pembeharuan layanan kantor gak tingkatkan kejelasan masahnya dimna,2,Negatif
pengiriman kartu ga terkirim dirumah nalah dikasi resi kartu yg lamaaa,1,Negatif
alhamdulillah lumayan dilancarkan terusnya kasih bintang,4,Positif
mbanking nya program nya berbeda smp sulit mbanking pakai no pdhl dlu pakai no aja langsung terdaftar sulit truz gmna mentransfer,2,Negatif
livin nya gak bisadi buka nge stak logo masuk lobi tolong tangani,1,Negatif
aplikasinya simple cepat transaksinya,5,Positif
aplikasi livin gak buka mohon info nya,5,Positif
pengalaman,5,Positif
lumayan smooth aplikasinya,5,Positif
gas,5,Positif
mantapp aplikasi nya,5,Positif
aplikasinya memuaskan,5,Positif
aman livin mandiri,5,Positif
pengaturan keuangan dompet digital aman,5,Positif
limi tf b,5,Positif
limit tf b besarsangat membantu,5,Positif
bagus,4,Positif
aplikasi bagus membantu informasi masuk saldo,5,Positif
limit bagus,5,Positif
nice aplikasi,5,Positif
suka lemot klo diupdate pdhl sinyal okejd tolong diperbaiki tuk sistem ny biar gk trlalu lma tuk update ulang,1,Negatif
aplikasi yg mempermudah transaksi,5,Positif
aplikasi tolol gak kebuka kebanyakan loading,1,Negatif
aplikasi yg waras lahh,1,Negatif
kebanyakan error,1,Negatif
aplikasinya bagus komplit proses download mudah,5,Positif
aplikasinya bagus keren,5,Positif
aplikasi bagus mudah,5,Positif
membantu yg dr kantor bank,5,Positif
maaf maaf denga afk terbantu mengecewakan kemaren tf an bos uang nya gak masuk nominal lumayan lahk batuan nya berusaha gmna uangnya gmna bos saldona udah ambil kesaya masuk saranya,4,Positif
knp aplikasi inipermintaan proses tlng mandiri perbarui aplikasi iniguna nya aplikasi permudah transfermalah anjurkan bank,1,Negatif
livin login gimana,1,Negatif
mantap pokoknya,5,Positif
aplikasi apansetelah diupdate logout sendirigiliran login gagal x coba tetep gagalbukanya mempermudah mempersulitdasar,1,Negatif
mudah tampilan nya sungguh canggih terimakasih bank mandiri,5,Positif
mudah canggih lagii mantap bank mandiri,5,Positif
membantu semoga membantu fitur pelayanan lengkapnya sukses livin by mandiri,5,Positif
transaksi pake livin sangatmembantu,5,Positif
bagus cuman knpa saldo tarik pedah pinjaman knpa juta ambil pdhal ngk telat trus bekukan gmana ad tanggung ngk bank mandiri,5,Positif
aplikasinya mempermudah transaksi smoga ditingkatkan pelayanannya,5,Positif
gak login bermasalah kemarin,1,Negatif
livin aplikasi finansial terbaik terlengkap tercanggih,5,Positif
livin mandiri rusak lagiingin transaksi tranfertopup tertulis pengaturan apalahpadahal aktif semuapadahal update lancar aja payah,1,Negatif
livin semoga konek amiin,5,Positif
masukan management mandiri applikasi mobile muncul tanda seru bunyi perintahseperti bagimana sistem data pengaman mobile internetkalo ragu mengunakan mobile mandiri,2,Negatif
mudah transaksi,5,Positif
aplikasi yg mudah mudah,5,Positif
livin aplikasi banking apikmudah pahami,5,Positif
log in detecsi wajah lelet maju mundur ngak sekelas bank,1,Negatif
mudah layanan,5,Positif
aplikasi keren bermanfaat,5,Positif
livin mandiri superappp,5,Positif
membantu proses transaksi,5,Positif
mandiri knapa sihk gangguan,1,Negatif
membantu kegiatan transaksi perbankan dimana,5,Positif
cool,5,Positif
aplikasi keuangan terbaik,5,Positif
bank mandiri waena mantap,5,Positif
kesini parah akun livin mandiri terblokir tertulis akun proses,1,Negatif
gk tranfer,2,Negatif
akun tibatiba ga akses tanggal juli,3,Positif
livin g instal hpku pahal kemarin,2,Negatif
gabisa login livin krn ganti nomor hp nomor hp udh gak aktif ganti eh gabisa login skrg susah bgt transaksi skrg gabisa pdhl udah lapor bank nya tolong tolong banget diperbaiki layanannya susah pakai mbangking,1,Negatif
transfer gabisa saldo,5,Positif
rekning pake hp kk sya top up k milih pengntaran lngsng kartu rumah cntumkan alamat rmh sya dgn bnar sudh nunggu dri an telfon mengantar kartu mandiri nama pemilik nama syaa alamat berbeda dri wa mengantar kartu nama alamat beda nomer syaa disebar bgmn tolong mandiri konfir,1,Negatif
ganguan heleh,1,Negatif
membantu nasabah terbaik melayani masyarakat luas,5,Positif
min klo bikin emang langsung,3,Positif
gak asik transfer bermasalah mulu aja masuk jam perawatan gagal terussss hadeuuuhhhh,1,Negatif
pokoknya cakeplah,4,Positif
terbantudan muda menggunakannya,5,Positif
lancar luncurrrr,5,Positif
gak login akun nya transfer bank kecewa menghubungi cs nya respon nya,1,Negatif
bagus bermanfaat kendala,5,Positif
pay laternya gak pake,1,Negatif
gak kadang dana ter tahan dana terblokir skrg paylater nya gak bs pembayaran aplikasi tdk bs email tlp call center tdk solusi hold trputus dana twrblokir konfirmasi tlg yah,1,Negatif
update aplikasi trus engga perubahan,3,Positif
mengajukan ksm mandiri,5,Positif
aneh pdhl udah login tibakeluar pas login lg verivikasi wajah gk mulu,1,Negatif
membantu,5,Positif
otp email kasihan diluar negri gk otp kartunya gk dipakai,1,Negatif
tampilan aplikasinya clean modern enak banget cocok suka cepat ringkas estetik urusan cek saldo transfer bayar tagihan top up ewallet investasi reksa dana beli tiket pesawat aplikasi aja nggak ribet buka platform fitur qris notifikasi transaksi realtime bikin pengalaman belanja bayar lancar,5,Positif
transaksi lancar jaya,5,Positif
membantu transaksi,5,Positif
bayar tagihan kartu kredit aplikasi my credit card bni nya ngga terpotong pembayaran nya livin terdebit no krtu kredit nya pdhal,2,Negatif
b aja,5,Positif
membantu dgn fitur yg jelassemua transaksi jdi gampang,5,Positif
kecewa update versi terbaru gk log in aplikasi bobrokk,1,Negatif
ga login bank apasih mempermudah ribet,1,Negatif
aplikasi ribetudah coba login verifikasi wajah disuruh masukin pin kartu pas dimasukin pin nya salah pin terblokiraneh,1,Negatif
membantu dg kemudahan transaksinya,5,Positif
terbantu aplikasi terimakasih ban mandiri,5,Positif
terbantu hadirnya livinby mandiridapat membantu tranfer bank ribet,5,Positif
aplikasi serbaguna transfer rek bank bayar token listrik bayar online lancar gk kendala yg kecepatan akses jg bagus terbantu,5,Positif
memudahkan,5,Positif
login ngak cuman silahkan ulangi registrasi jam ulangi kocak,1,Negatif
bagus membantu keuangan,5,Positif
merekomendasikan aplikasi livin layanan perbankan digital efisienaman user friendlysemua fitur perbankan tersedia platformnya transfer bank pembayaran tagihan integrasi e wallet qris,5,Positif
tampilan kece mudah diakses membantu transaksi,5,Positif
suruh kasih bintang asfandi,5,Positif
mempermudah pembayaran,5,Positif
knpa livin eror gk masuk,1,Negatif
mohon bantuannya akun tulisan keamanan akun mohon bantuannya pemulihan akun,1,Negatif
download karna ganti hape tulisan nya update seru bolak instal,3,Positif
mempermudah tambahan layanan pinjaman yg mudah pengembangan usaha pertanian,5,Positif
sulit menginstal,1,Negatif
e banking mandiri gak hp jelek kali bermasalah,1,Negatif
aplikasi membantu bertransaksi,5,Positif
aplikasi livin nya gak login gimana,5,Positif
mohon tingkat fromonya,5,Positif
daptar d aplika gagallayanan tersedia kartu bank udah tolong perbaiki,1,Negatif
kasih bintang dlu yasaya pakai livin logo birukrna logo biru terbiasa mudah mengerti,5,Positif
pindah hp udah setaun nyoba alesan nya perbaikan,1,Negatif
ga buka aplikasi update solusi,1,Negatif
pindah hp gk bs login layanan tersedia mulu tlonglah metode login yg mempermudah tp safety kayak pemindahan via barcode kode dr perangkat perangkat validasi pakai no kartu,4,Positif
aplikasinya lengkap mudah dipakai kebutuhan terpenuhi genggaman aplikasi,5,Positif
pelayanan,5,Positif
tolong perbaikiverifikasi wajah ribet bangetdekatkan wajahudah suruh menjauhribeet udah puluhan kali nyoba ttp gabisa sistem online mempersulit,1,Negatif
mantap aplikasi muda mengerti,5,Positif
update update ko bikin gimana si nga tamba fitur bikin pusing aja suru suru,1,Negatif
layanan aduannya payah,1,Negatif
aplikasi nya bagus sang at membantu,5,Positif
livin by mandiri memudahkan transaksi,5,Positif
mudah mengerti,5,Positif
mudah mengerti,5,Positif
tolong jgn sdkt mnt update aplikasi trus donk memori hp udh gx mw update aplikasi terusn gx update aplikasinya gx bs digunain,3,Positif
ajing eror,3,Positif
aman trntram damai,5,Positif
gajelas potongan administrasi kartulucu kali,1,Negatif
pelayanannya bagus,5,Positif
update susah loging,2,Negatif
kcp banjarnegara toooop livin cepat transaksi,5,Positif
aplikasinya,5,Positif
transaksi livin membantu transksi trf,5,Positif
susah banget kyc nya gagal poncelnya jelek muka yg jelek tolong,1,Negatif
biaya bulanan rekening aneh mandiri kadang rp k kadang rp k habis upgrade kartu k rupiah maksudnya benarbenar buka rekening ribu admin rekening riwayat transaksi tertulis biaya jujur aneh gak make sense lho,1,Negatif
aplikasi bagus membantu,5,Positif
bagus update tan livinnya,5,Positif
perbarui,2,Negatif
mohon tim it perbaiki aplikasinya mudah menghapal paswords ganti password ijinkan pasword yg dipakai nya,3,Positif
aplikasi livin by mandiri perbarui mohon bantuannya,3,Positif
perbaikan livin rtp,5,Positif
kalo keperluan mendadak malam pkl gak update sistem nya bank jam subuh nyampe subuh hadeh pusing dah,1,Negatif
jam malam kecewa,2,Negatif
mentransfer uang,1,Negatif
error ga transaksi,1,Negatif
mempersulit nasabah pemeliharaan malam kalo butuh transaksi malam nunggu terussga kayak bank livin mandiri menyebalkan,1,Negatif
pemeliharaanuntuk transaksi bisnis lbh pakai bcamandiri busuksampahjangan pakai mandirisistemnya mengenaskan,1,Negatif
aplikasi yg the best sngt membantu tks,5,Positif
jam jam malem gabisa transaksi aduuuhh rusak malam aplikasinya admin bank gede loh menghambat aktivitas orang aja hadeuh,1,Negatif
livin gk login yh mohon bantuannya,3,Positif
membantu memudahkan transaksi apapun memiliki fitur ramah user mudah manfaat didapatterimakasih livin byk mandiri,5,Positif
update saldo payleter,5,Positif
yah ngga login keterrangannya livin menanggapi mohon informasinya kak,5,Positif
dah pakai skarg ko muali bermasalah aplikasinya tdk buka pas donlod tdk dgn mandiri,1,Negatif
iya livin gk pinjaman ksm nya,5,Positif
kartunya gak nyampe,2,Negatif
gabisa buka disuruh bank dah tau make biar mempermudah gabisa anehhh hadeuuhhhh,1,Negatif
ngeri saldo tertinggal minimal mikir x lipat klo buka rekening mandiri,1,Negatif
mantap bu as,5,Positif
parah aktivasi kelivin gk masuk eror trus ganti bank aja udh putus mandiri,1,Negatif
bikin rekening udah foto e ktp og pas disuruh registrasi kartu gitu lainya langsung tinggal ngisi data beda yaa rekening,2,Negatif
puas hadirx lifini,5,Positif
download aplikasi livin membantu transaksi bisnis warung menu nya simpel,5,Positif
aplikasi aneh verifikasi muka pembukaan rekening berkedip ttep aja gbisa aplikasi ngaco udah berkali kali verifikasi muka ttp aja gbisa sruh berkedip mulu gacape apaa perbaikin dongg hadehhhh,1,Negatif
nabung ragu masuk aplikasi nya susah banget gak yg,3,Positif
manta aplikasinya lengkap aja,5,Positif
tolong mandiri gimana sihgabisa login buru transfer jdi lambat,2,Negatif
ga login aplikasi livin kantor cabang kota jawabannya memuaskan terpecahkan cs nya nunggu xjam skrg ga login coba telpon nomor mandiri call jaringan sibuk ga bs terhubung mengecewakan pelayanannya,2,Negatif
alpkasi nya mudah transaksi nya cepat,5,Positif
aplikasi mumudahkan transaksi bank mandiri,5,Positif
aplikasi praktis lengkap,5,Positif
livin,5,Positif
limit tf b,5,Positif
livin by mandiri praktis manfaatnya terima kasih livin by mandiri,5,Positif
bos tolong ni ga masuk karenakan aplikasi yg tdk dkkenal jd g bs masuk solusi bos,2,Negatif
pelayanan bagus cepat,5,Positif
bagus bgt aplikasi nya,5,Positif
i updated to the latest update and i simply cannot connect to my account anymore when i input the otp there maintenance message telling me the service unavailable it has been doing that days the contact on whatsapp does not work either so it seems that it not working and there no one to help,1,Negatif
transfer pelakor rustinah,5,Positif
aplikasi nya mudah cepat,5,Positif
pake mandiri gak livin membantu memudahkan love mandiri sekebon,5,Positif
g limit g pilihan tabungan pinjaman g telat bayar angsuran perbulan ny,4,Positif
buka rekening bank mandiri mudah aplikasi livin membantu transaksi bisnis,5,Positif
ngurus pengembalian dana aja gak pecusuda hri krja blm jg masuk uangnyakecewa pake mandiri,1,Negatif
terbantu aplikasi livin by mandiri modern mudah,5,Positif
scan payleter mandiri gak limit,2,Negatif
